domain,request_port,cname,origin,origin_port,https,https_port,redirect,custom_host,custom_host_name,AccelerationType
dnstestbill.com,80,dnstestbill.com.klchemicals.net,http://1.1.1.1,80,False,,True,True,bosco.com,small_file
ip.a8cdn.com,80,ip.a8cdn.com.klchemicals.net,http://45.76.182.63,9996,False,,False,False,None,web
dnsbilltest.com,80,dnsbilltest.com.klchemicals.net,http://2.2.2.2,80,False,,False,False,None,api
blog.aicomic.org,80,blog.aicomic.org.klchemicals.net,http://162.241.244.55,80,True,443,False,False,None,web
aicomic.org,80,aicomic.org.klchemicals.net,http://119.8.41.221,80,True,443,False,False,None,web
1999705.com,80,1999705.com.klchemicals.net,http://cp1999cdn.fucname.net,80,True,443,False,False,None,web
qatest.esccall.com,80,qatest.esccall.com.klchemicals.net,http://141.164.34.51,80,True,443,False,False,None,web
0713test.bosco.live,80,0713test.bosco.live.klchemicals.net,http://1.1.1.1,80,False,,False,False,None,web
member23.site,80,member23.site.klchemicals.net,http://34.92.147.173,80,True,443,False,False,None,web
68demo.flywaycdn.com,80,68demo.flywaycdn.com.klchemicals.net,http://45.77.240.39,9191,True,443,False,False,None,web
chensinv.com,80,chensinv.com.klchemicals.net,http://43.154.198.189,80,True,443,False,False,None,web
www.chensinv.com,80,www.chensinv.com.klchemicals.net,http://43.154.198.189,80,True,443,False,False,None,web
ccccc.com,443,ccccc.com.klchemicals.net,http://154.206.155.125,80,False,,False,False,None,web
bbbbb.com,443,bbbbb.com.klchemicals.net,http://154.206.155.124,80,False,,False,False,None,web
bosco111.com,80,bosco111.com.klchemicals.net,http://1.1.1.1,80,False,,False,False,None,api
123.bosco.live,443,123.bosco.live.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
www.bosco.live,80,www.bosco.live.klchemicals.net,https://testfire.net/,2301,False,,False,True,mmm.bosco.live,api
*.ytqt1.com,80,*.ytqt1.com.klchemicals.net,http://65.61.137.117,80,False,,False,False,None,web
e68.tombuy.cn,80,e68.tombuy.cn.klchemicals.net,http://65.61.137.117,80,True,443,False,False,None,web
billtest.live,80,billtest.live.klchemicals.net,http://1.1.1.1,443,False,,False,False,None,api
fastboce.cdnvips.net,8080,fastboce.cdnvips.net.klchemicals.net,http://34.142.131.71,8080,False,,True,False,None,small_file
m.bosco.live,80,m.bosco.live.klchemicals.net,http://testfire.net,80,True,443,False,False,None,web
dd.lk8886.com,80,dd.lk8886.com.klchemicals.net,http://m1.member23.site,80,True,443,False,False,None,web
yc-harbor.esccall.com,80,yc-harbor.esccall.com.klchemicals.net,http://34.92.152.0,80,False,,False,False,None,api
bill303test.cn,443,bill303test.cn.klchemicals.net,https://1.1.12,443,False,,False,False,None,api
kb.tombuy.cn,80,kb.tombuy.cn.klchemicals.net,https://dsg-games.oss-cn-hongkong.aliyuncs.com,443,True,443,False,False,None,web
maintains.tombuy.cn,80,maintains.tombuy.cn.klchemicals.net,http://cdn-node-tw-1.klchemicals.net,80,False,,False,False,None,api
test.bosco.live,80,test.bosco.live.klchemicals.net,http://testfire.net,80,True,443,False,False,None,api
test2.bosco.live,"443,80",test2.bosco.live.klchemicals.net,http://testfire.net,80,False,,False,False,None,api
bill303test.com,443,bill303test.com.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
bill303.cn,443,bill303.cn.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,web
bill303.tw,443,bill303.tw.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,web
bill303.com,443,bill303.com.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,web
bill0301test.com,80,bill0301test.com.klchemicals.net,https://1.1.1.1,80,False,,False,False,None,api
mark1.flywaycdn.com,80,mark1.flywaycdn.com.klchemicals.net,http://kevin.a8cdn.com,80,False,,False,False,None,web
bill228.cc,443,bill228.cc.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
bill228.cn,443,bill228.cn.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
bill228.com,443,bill228.com.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
bill228.live,443,bill228.live.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
boscocc.com,443,boscocc.com.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
billcc11.com,443,billcc11.com.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
billcc10.com,443,billcc10.com.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
billcc9.com,443,billcc9.com.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
billcc8.com,443,billcc8.com.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
billcc7.com,443,billcc7.com.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
billcc6.com,443,billcc6.com.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
billcc5.com,443,billcc5.com.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
billcc4.com,443,billcc4.com.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
billcc3.com,443,billcc3.com.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
billcc1.com,443,billcc1.com.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
billcc2.com,443,billcc2.com.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
billccc.com,443,billccc.com.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
billccc.cn,443,billccc.cn.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
billcc.com,443,billcc.com.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
billcc.cn,443,billcc.cn.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,api
bill3.cc,443,bill3.cc.klchemicals.net,http://1.1.1.1,80,False,,False,False,None,api
bill2.cc,443,bill2.cc.klchemicals.net,http://1.1.1.1,80,False,,False,False,None,api
bill1.cc,443,bill1.cc.klchemicals.net,http://1.1.1.1,80,False,,False,False,None,api
bill.cc,443,bill.cc.klchemicals.net,http://1.1.1.1,80,False,,False,False,None,api
bill11.com,443,bill11.com.klchemicals.net,http://1.1.1.1,443,False,,False,False,None,small_file
bill10.com,80,bill10.com.klchemicals.net,http://1.1.1.1,80,False,,False,False,None,web
bill6.com,80,bill6.com.klchemicals.net,http://1.1.1.1,80,False,,False,False,None,api
bill8.com,443,bill8.com.klchemicals.net,http://8.8.8.8,443,False,,False,False,None,websocket
bill7.com,80,bill7.com.klchemicals.net,http://7.7.7.7,80,False,,False,False,None,small_file
bill4.com,80,bill4.com.klchemicals.net,http://1.1.1.1,80,False,,False,False,None,small_file
bill5.com,443,bill5.com.klchemicals.net,http://5.5.5.5,443,False,,False,False,None,web
bill2.com,443,bill2.com.klchemicals.net,http://2.2.2.2,443,False,,False,False,None,large_file
bill3.com,443,bill3.com.klchemicals.net,http://3.3.3.3,443,False,,False,False,None,large_file
bill1.com,80,bill1.com.klchemicals.net,http://1.1.1.1,80,False,,False,False,None,api
bill.test.live,80,bill.test.live.klchemicals.net,http://1.1.1.1,80,False,,False,False,None,api
billtest6.com,"80,443",billtest6.com.klchemicals.net,http://8.8.8.8,80,False,,False,False,None,web
billtest5.com,"80,443",billtest5.com.klchemicals.net,http://8.8.8.8,80,False,,False,False,None,web
billtest4.com,443,billtest4.com.klchemicals.net,https://1.1.1.1,443,False,,False,False,None,other
billtest3.com,443,billtest3.com.klchemicals.net,https://1.1.1.1,,False,,True,False,None,web
billtest2.com,443,billtest2.com.klchemicals.net,https://1.1.1.1,,False,,True,False,None,web
billtest1.com,443,billtest1.com.klchemicals.net,https://1.1.1.1,,False,,True,False,None,web
bosco.com,80,bosco.com.klchemicals.net,http://h5-2.member23.site,80,False,,False,False,None,api
bosco1.com,443,bosco1.com.klchemicals.net,http://1.1.1.1,80,False,,True,False,None,websocket
bosco.com,443,bosco.com.klchemicals.net,http://1.1.1.1,80,False,,True,False,None,websocket
