domain,request_port,cname,origin,origin_port,https,https_port,redirect,custom_host,custom_host_name,AccelerationType
mobile-agent.kkbet3.com,80,mobile-agent.kkbet3.com.klchemicals.net,http://35.220.211.33,20080,True,443,False,False,None,web
kkbet01.com,80,kkbet01.com.klchemicals.net,http://34.92.30.102,83,True,443,False,False,None,web
pc-agent.kkbet01.com,80,pc-agent.kkbet01.com.klchemicals.net,http://34.92.30.102,84,True,443,False,False,None,web
www.kkbet3.app,80,www.kkbet3.app.klchemicals.net,http://34.92.95.77,7780,True,443,False,False,None,web
kkbet3.app,80,kkbet3.app.klchemicals.net,http://34.92.95.77,7780,True,443,False,False,None,web
www.kkbet2.app,80,www.kkbet2.app.klchemicals.net,http://34.92.95.77,7780,True,443,False,False,None,web
kkbet2.app,80,kkbet2.app.klchemicals.net,http://34.92.95.77,7780,True,443,False,False,None,web
www.kkbet1.app,80,www.kkbet1.app.klchemicals.net,http://34.92.95.77,7780,True,443,False,False,None,web
kkbet1.app,80,kkbet1.app.klchemicals.net,http://34.92.95.77,7780,True,443,False,False,None,web
www.kkbet5.com,80,www.kkbet5.com.klchemicals.net,http://34.92.95.77,80,True,"443,9881,9882,9883,9884,9885,9886,9887,9888,9889",False,False,None,web
kkbet5.com,80,kkbet5.com.klchemicals.net,http://34.92.95.77,80,True,"443,9881,9882,9883,9884,9885,9886,9887,9888,9889",False,False,None,web
kkbet4.com,80,kkbet4.com.klchemicals.net,http://34.92.95.77,80,True,"443,9881,9882,9883,9884,9885,9886,9887,9888,9889",False,False,None,web
www.kkbet4.com,80,www.kkbet4.com.klchemicals.net,http://34.92.95.77,80,True,"443,9881,9882,9883,9884,9885,9886,9887,9888,9889",False,False,None,web
kkbet3.com,80,kkbet3.com.klchemicals.net,http://34.92.95.77,80,True,"443,9881,9882,9883,9884,9885,9886,9887,9888,9889",False,False,None,web
www.kkbet3.com,80,www.kkbet3.com.klchemicals.net,http://34.92.95.77,80,True,"443,9881,9882,9883,9884,9885,9886,9887,9888,9889",False,False,None,web
kkbet2.com,80,kkbet2.com.klchemicals.net,http://34.92.95.77,80,True,"443,9881,9882,9883,9884,9885,9886,9887,9888,9889",False,False,None,web
www.kkbet2.com,80,www.kkbet2.com.klchemicals.net,http://34.92.95.77,80,True,"443,9881,9882,9883,9884,9885,9886,9887,9888,9889",False,False,None,web
www.kkbet1.com,80,www.kkbet1.com.klchemicals.net,http://tvip666.com,80,True,443,True,False,None,web
kkbet1.com,80,kkbet1.com.klchemicals.net,http://tvip666.com,80,True,443,True,False,None,web
